,image_id,partition
0,20587054,train
1,20587080,train
2,20587148,train
3,20587174,train
4,20587200,train
5,20587226,train
6,20587294,train
7,20587320,train
8,20587346,train
9,20587372,train
10,20587466,train
11,20587492,train
12,20587518,train
13,20587544,train
14,20587612,train
15,20587638,train
16,20587664,train
17,20587690,train
18,20587758,train
19,20587784,train
20,20587810,train
21,20587836,train
22,20588308,train
23,20588334,train
24,22580015,train
25,22580038,train
26,22580068,train
27,22580098,train
28,22580654,train
29,22580680,train
30,22580706,train
31,22580732,train
32,22613770,train
33,22613796,train
34,22613822,train
35,22613848,train
36,22613918,train
37,22613944,train
38,22613970,train
39,22613996,train
40,22614074,train
41,22614097,train
42,22614127,train
43,22614150,train
44,22670278,train
45,22670301,train
46,22670324,train
47,22670347,train
48,22678953,train
49,22678980,train
50,22679008,train
51,22679036,train
52,24055149,train
53,24055176,train
54,24055203,train
55,24055274,train
56,24055328,train
57,24055355,train
58,24055382,train
59,24055573,train
60,24055600,train
61,24055627,train
62,24055654,train
63,24055725,train
64,24055752,train
65,24055779,train
66,24055806,train
67,24055877,train
68,24055904,train
69,24055931,train
70,24055958,train
71,24065251,train
72,24065270,train
73,24065289,train
74,24065308,train
75,24065380,train
76,24065407,train
77,24065434,train
78,24065461,train
79,24065530,train
80,24065557,train
81,24065584,train
82,24065611,train
83,24065680,train
84,24065707,train
85,24065734,train
86,24065761,train
87,24065833,train
88,24065860,train
89,24065887,train
90,24065914,train
91,26933772,train
92,26933801,train
93,26933830,train
94,26933859,train
95,27829134,train
96,27829161,train
97,27829188,train
98,27829215,train
99,30011484,train
100,30011507,train
101,30011530,train
102,30011553,train
103,30011798,train
104,30011824,train
105,30011850,train
106,30318067,train
107,50993616,train
108,50993643,train
109,50993670,train
110,50993697,train
111,50993787,train
112,50993814,train
113,50993841,train
114,50993868,train
115,50993895,train
116,50993922,train
117,50993949,train
118,50993976,train
119,50994535,train
120,50994562,train
121,50994589,train
122,50994616,train
123,50994706,train
124,50994733,train
125,50994760,train
126,50994787,train
127,50994814,train
128,50994841,train
129,50994868,train
130,50994895,train
131,50995872,train
132,50995899,train
133,50995963,train
134,50995990,train
135,50996056,train
136,50996083,train
137,50996110,train
138,50996137,train
139,50996325,train
140,50996352,train
141,50996379,train
142,50996406,train
143,50996709,train
144,50996736,train
145,50996945,train
146,50996972,train
147,50996999,train
148,50997026,train
149,50997053,train
150,50997080,train
151,50997107,train
152,50997134,train
153,50997434,train
154,50997461,train
155,50997488,train
156,50997515,train
157,50998322,train
158,50998349,train
159,50998580,train
160,50998607,train
161,50998634,train
162,50998661,train
163,50999432,train
164,50999459,train
165,51048738,train
166,51048765,train
167,51048891,train
168,51048918,train
169,51048945,train
170,51048972,train
171,51049053,train
172,51049080,train
173,51049107,train
174,51049134,train
175,51049249,train
176,51049276,train
177,53580979,train
178,53581006,train
179,53581033,train
180,53581060,train
181,53581237,train
182,53581264,train
183,53581379,train
184,53581406,train
185,53581433,train
186,53581460,train
187,53582395,train
188,53582422,train
189,53582449,train
190,53582476,train
191,53582540,train
192,53582567,train
193,53582656,train
194,53582683,train
195,53582710,train
196,53582737,train
197,53582764,train
198,53582791,train
199,53582818,train
200,53586724,train
201,53586751,train
202,53586778,train
203,53586805,train
204,53586869,train
205,53586896,train
206,53587427,train
207,53587454,train
208,53587481,train
209,53587508,train
210,20586908,test
211,20586934,test
212,20586960,test
213,20586986,test
214,20587902,test
215,20587928,test
216,20587994,test
217,20588020,test
218,20588046,test
219,20588072,test
220,20588138,test
221,20588164,test
222,20588190,test
223,20588216,test
224,20588458,test
225,20588510,test
226,20588536,test
227,20588562,test
228,20588654,test
229,20588680,test
230,22427682,test
231,22427705,test
232,22427728,test
233,22427751,test
234,22427840,test
235,22427864,test
236,22579730,test
237,22579754,test
238,22579847,test
239,22579870,test
240,22579893,test
241,22579916,test
242,22580192,test
243,22580218,test
244,22580244,test
245,22580270,test
246,22580341,test
247,22580367,test
248,22580393,test
249,22580419,test
250,22580492,test
251,22580520,test
252,22580548,test
253,22580576,test
254,22613624,test
255,22613650,test
256,22613676,test
257,22613702,test
258,22614236,test
259,22614266,test
260,22614353,test
261,22614379,test
262,22614405,test
263,22614431,test
264,22614499,test
265,22614522,test
266,22614545,test
267,22614568,test
268,22670094,test
269,22670124,test
270,22670147,test
271,22670177,test
272,22670442,test
273,22670465,test
274,22670488,test
275,22670511,test
276,22670620,test
277,22670643,test
278,22670673,test
279,22670703,test
280,22670809,test
281,22670832,test
282,22670855,test
283,22670878,test
284,22670978,test
285,22671003,test
286,22678449,test
287,22678472,test
288,22678495,test
289,22678518,test
290,22678622,test
291,22678646,test
292,22678670,test
293,22678694,test
294,22678787,test
295,22678810,test
296,22678833,test
297,22678856,test
298,24054997,test
299,24055024,test
300,24055051,test
301,24055078,test
302,24055445,test
303,24055464,test
304,24055483,test
305,24055502,test
306,24058660,test
307,24058686,test
308,24058712,test
309,24058738,test
310,30011647,test
311,30011674,test
312,30011700,test
313,30011727,test
314,50993399,test
315,50993426,test
316,50994110,test
317,50994137,test
318,50994164,test
319,50994191,test
320,50994273,test
321,50994300,test
322,50994327,test
323,50994354,test
324,50994381,test
325,50994408,test
326,50995762,test
327,50995789,test
328,50996201,test
329,50996228,test
330,50996800,test
331,50996827,test
332,50996854,test
333,50996881,test
334,50997223,test
335,50997250,test
336,50997277,test
337,50997304,test
338,50997597,test
339,50997624,test
340,50997651,test
341,50997678,test
342,50997742,test
343,50997769,test
344,50997796,test
345,50997823,test
346,50998032,test
347,50998059,test
348,50998086,test
349,50998113,test
350,50998177,test
351,50998204,test
352,50998231,test
353,50998258,test
354,50998413,test
355,50998440,test
356,50998467,test
357,50998494,test
358,50998981,test
359,50999008,test
360,50999094,test
361,50999121,test
362,50999148,test
363,50999175,test
364,50999246,test
365,50999273,test
366,50999300,test
367,50999327,test
368,51049462,test
369,51049489,test
370,51049516,test
371,51049543,test
372,51049628,test
373,51049655,test
374,51049682,test
375,51070197,test
376,53580611,test
377,53580638,test
378,53580665,test
379,53580692,test
380,53580804,test
381,53580831,test
382,53580858,test
383,53580885,test
384,53581124,test
385,53581151,test
386,53581769,test
387,53581796,test
388,53581860,test
389,53581887,test
390,53581914,test
391,53581941,test
392,53582304,test
393,53582331,test
394,53586361,test
395,53586388,test
396,53586415,test
397,53586442,test
398,53586960,test
399,53586987,test
400,53587014,test
401,53587041,test
402,53587104,test
403,53587131,test
404,53587572,test
405,53587599,test
406,53587663,test
407,53587690,test
408,53587717,test
409,53587744,test
